idx,classname
0,java.applet.Applet
1,java.awt.Panel
2,java.awt.Dimension
3,java.net.URL
4,java.lang.String
5,java.util.Locale
6,java.awt.Image
7,javax.accessibility.AccessibleContext
8,java.applet.AppletStub
9,java.applet.AudioClip
10,java.applet.AppletContext
11,java.awt.Component
12,java.lang.Object
13,java.io.PrintWriter
14,java.io.PrintStream
15,java.awt.Graphics
16,java.beans.PropertyChangeListener
17,java.awt.event.ContainerListener
18,java.awt.Font
19,java.awt.FocusTraversalPolicy
20,java.lang.Class
21,java.awt.Point
22,java.awt.Event
23,java.util.Set
24,java.awt.Container
25,java.awt.ComponentOrientation
26,java.awt.Insets
27,java.awt.LayoutManager
28,java.awt.PopupMenu
29,java.awt.MenuComponent
30,java.awt.Color
31,java.awt.Cursor
32,java.awt.FontMetrics
33,java.awt.Rectangle
34,java.awt.event.FocusListener
35,java.awt.event.ComponentListener
36,java.awt.image.ColorModel
37,java.awt.image.ImageObserver
38,java.awt.image.ImageProducer
39,java.awt.peer.ComponentPeer
40,java.awt.Toolkit
41,java.awt.dnd.DropTarget
42,java.awt.GraphicsConfiguration
43,java.awt.Component$BaselineResizeBehavior
44,java.awt.image.VolatileImage
45,java.awt.ImageCapabilities
46,java.awt.AWTEvent
47,java.awt.event.HierarchyListener
48,java.awt.event.HierarchyBoundsListener
49,java.awt.event.KeyListener
50,java.awt.event.MouseListener
51,java.awt.event.MouseMotionListener
52,java.awt.event.MouseWheelListener
53,java.awt.event.InputMethodListener
54,java.awt.im.InputMethodRequests
55,java.awt.im.InputContext
56,java.applet.Applet$AccessibleApplet
57,java.awt.Panel$AccessibleAWTPanel
58,javax.accessibility.AccessibleRole
59,javax.accessibility.AccessibleStateSet
60,javax.accessibility.Accessible
61,javax.accessibility.AccessibleComponent
62,javax.accessibility.AccessibleAction
63,javax.accessibility.AccessibleSelection
64,javax.accessibility.AccessibleText
65,javax.accessibility.AccessibleEditableText
66,javax.accessibility.AccessibleValue
67,javax.accessibility.AccessibleRelationSet
68,javax.accessibility.AccessibleTable
69,java.util.Enumeration
70,java.io.InputStream
71,java.util.Iterator
72,java.awt.AWTError
73,java.lang.Error
74,java.lang.Throwable
75,java.util.EventObject
76,java.awt.AWTEvent$1
77,java.awt.AWTEventMulticaster
78,java.awt.event.WindowListener
79,java.awt.event.WindowFocusListener
80,java.awt.event.WindowStateListener
81,java.awt.event.ActionListener
82,java.awt.event.ItemListener
83,java.awt.event.AdjustmentListener
84,java.awt.event.TextListener
85,java.util.EventListener
86,java.awt.event.ActionEvent
87,java.awt.event.ComponentEvent
88,java.awt.event.FocusEvent
89,java.awt.event.KeyEvent
90,java.awt.event.MouseEvent
91,java.awt.event.MouseWheelEvent
92,java.awt.event.InputMethodEvent
93,java.awt.event.HierarchyEvent
94,java.awt.event.ItemEvent
95,java.awt.event.ContainerEvent
96,java.awt.event.WindowEvent
97,java.awt.event.AdjustmentEvent
98,java.awt.event.TextEvent
99,java.awt.AWTException
100,java.lang.Exception
101,java.awt.AWTKeyStroke
102,java.io.Serializable
103,java.lang.Character
104,java.awt.AWTKeyStroke$1
105,java.security.PrivilegedAction
106,java.awt.AWTPermission
107,java.security.BasicPermission
108,java.security.Permission
109,java.security.PermissionCollection
110,java.awt.Adjustable
111,java.awt.AlphaComposite
112,java.awt.Composite
113,java.awt.CompositeContext
114,java.awt.RenderingHints
115,java.awt.AttributeValue
116,java.awt.BasicStroke
117,java.awt.Stroke
118,java.awt.Shape
119,java.awt.BasicStroke$FillAdapter
120,java.awt.BorderLayout
121,java.awt.LayoutManager2
122,java.awt.BufferCapabilities
123,java.lang.Cloneable
124,java.awt.BufferCapabilities$FlipContents
125,java.awt.Button
126,java.awt.Button$AccessibleAWTButton
127,java.awt.Component$AccessibleAWTComponent
128,java.lang.Number
129,java.awt.Canvas
130,java.awt.image.BufferStrategy
131,java.awt.Canvas$AccessibleAWTCanvas
132,java.awt.CardLayout
133,java.awt.CardLayout$Card
134,java.awt.Checkbox
135,java.awt.ItemSelectable
136,java.awt.CheckboxGroup
137,java.awt.Checkbox$AccessibleAWTCheckbox
138,java.awt.CheckboxMenuItem
139,java.awt.MenuItem
140,java.awt.MenuShortcut
141,java.awt.MenuContainer
142,java.awt.peer.MenuComponentPeer
143,java.awt.CheckboxMenuItem$AccessibleAWTCheckboxMenuItem
144,java.awt.MenuItem$AccessibleAWTMenuItem
145,java.awt.Choice
146,java.awt.Choice$AccessibleAWTChoice
147,java.awt.Paint
148,java.awt.color.ColorSpace
149,java.awt.PaintContext
150,java.awt.geom.Rectangle2D
151,java.awt.geom.AffineTransform
152,java.awt.ColorPaintContext
153,java.awt.image.Raster
154,java.awt.Component$1
155,java.awt.Component$2
156,java.awt.Component$3
157,java.lang.Boolean
158,java.awt.Component$4
159,java.awt.Component$AWTTreeLock
160,java.awt.Component$AccessibleAWTComponent$AccessibleAWTComponentHandler
161,java.awt.Component$AccessibleAWTComponent$AccessibleAWTFocusHandler
162,java.lang.Enum
163,java.awt.Component$BltBufferStrategy
164,java.awt.Component$BltSubRegionBufferStrategy
165,java.awt.Component$DummyRequestFocusController
166,java.awt.Component$FlipBufferStrategy
167,java.awt.Component$FlipSubRegionBufferStrategy
168,java.awt.Component$NativeInLightFixer
169,java.awt.Component$SingleBufferStrategy
170,java.util.ResourceBundle
171,java.awt.image.WritableRaster
172,java.awt.Container$1
173,java.awt.Container$2
174,java.lang.Runnable
175,java.awt.Container$2$1
176,java.awt.Conditional
177,java.awt.Container$AccessibleAWTContainer
178,java.awt.Container$AccessibleAWTContainer$AccessibleContainerHandler
179,java.awt.Container$DropTargetEventTargetFilter
180,java.awt.Container$EventTargetFilter
181,java.awt.Container$MouseEventTargetFilter
182,java.awt.Container$WakingRunnable
183,java.awt.ContainerOrderFocusTraversalPolicy
184,java.awt.Window
185,java.awt.Cursor$1
186,java.security.PrivilegedExceptionAction
187,java.awt.Cursor$2
188,java.awt.Cursor$CursorDisposer
189,java.awt.DefaultFocusTraversalPolicy
190,java.awt.DefaultKeyboardFocusManager
191,java.awt.KeyboardFocusManager
192,java.beans.VetoableChangeListener
193,java.awt.KeyEventDispatcher
194,java.awt.KeyEventPostProcessor
195,java.awt.DefaultKeyboardFocusManager$1
196,java.awt.DefaultKeyboardFocusManager$DefaultKeyboardFocusManagerSentEvent
197,java.awt.SentEvent
198,java.awt.DefaultKeyboardFocusManager$TypeAheadMarker
199,java.awt.Desktop
200,java.io.File
201,java.awt.Desktop$Action
202,java.net.URI
203,java.awt.Dialog
204,java.awt.Dialog$ModalityType
205,java.awt.Frame
206,java.awt.Dialog$ModalExclusionType
207,java.util.List
208,java.awt.Dialog$1
209,java.awt.Dialog$1$1
210,java.awt.Dialog$2
211,java.awt.Dialog$3
212,java.awt.Dialog$4
213,java.awt.Dialog$AccessibleAWTDialog
214,java.awt.Window$AccessibleAWTWindow
215,java.awt.Dialog$WakingRunnable
216,java.awt.geom.Dimension2D
217,java.awt.DisplayMode
218,java.awt.EventDispatchThread
219,java.lang.Thread
220,java.lang.ThreadGroup
221,java.lang.ClassLoader
222,java.util.Map
223,java.lang.Thread$State
224,java.lang.Thread$UncaughtExceptionHandler
225,java.awt.EventDispatchThread$1
226,java.awt.EventDispatchThread$HierarchyEventFilter
227,java.awt.EventFilter
228,java.awt.EventFilter$FilterAction
229,java.awt.EventDispatchThread$StopDispatchEvent
230,java.awt.ActiveEvent
231,java.awt.EventQueue
232,java.awt.EventQueue$1
233,java.awt.EventQueue$1AWTInvocationLock
234,java.awt.EventQueueItem
235,java.awt.FileDialog
236,java.io.FilenameFilter
237,java.awt.FlowLayout
238,java.awt.FocusManager
239,java.awt.peer.FontPeer
240,java.awt.font.LineMetrics
241,java.awt.font.FontRenderContext
242,java.text.CharacterIterator
243,java.awt.font.GlyphVector
244,java.awt.Font$1
245,java.awt.FontFormatException
246,java.awt.MenuBar
247,java.awt.Frame$AccessibleAWTFrame
248,java.awt.GradientPaint
249,java.awt.geom.Point2D
250,java.awt.GradientPaintContext
251,java.awt.Polygon
252,java.text.AttributedCharacterIterator
253,java.awt.Graphics2D
254,java.awt.RenderingHints$Key
255,java.awt.image.BufferedImage
256,java.awt.image.BufferedImageOp
257,java.awt.image.RenderedImage
258,java.awt.image.renderable.RenderableImage
259,java.awt.GraphicsCallback
260,java.awt.GraphicsCallback$PaintAllCallback
261,java.awt.GraphicsCallback$PaintCallback
262,java.awt.GraphicsCallback$PaintHeavyweightComponentsCallback
263,java.awt.GraphicsCallback$PeerPaintCallback
264,java.awt.GraphicsCallback$PeerPrintCallback
265,java.awt.GraphicsCallback$PrintAllCallback
266,java.awt.GraphicsCallback$PrintCallback
267,java.awt.GraphicsCallback$PrintHeavyweightComponentsCallback
268,java.awt.GraphicsConfigTemplate
269,java.awt.GraphicsDevice
270,java.awt.GraphicsConfiguration$DefaultBufferCapabilities
271,java.awt.GraphicsEnvironment
272,java.awt.GraphicsEnvironment$1
273,java.awt.GridBagConstraints
274,java.awt.GridBagLayout
275,java.awt.GridBagLayout$1
276,java.awt.GridBagLayoutInfo
277,java.awt.GridLayout
278,java.awt.HeadlessException
279,java.lang.UnsupportedOperationException
280,java.awt.IllegalComponentStateException
281,java.lang.IllegalStateException
282,java.awt.Image$1
283,java.awt.ImageMediaEntry
284,java.awt.MediaEntry
285,java.awt.JobAttributes
286,java.awt.JobAttributes$DefaultSelectionType
287,java.awt.JobAttributes$DestinationType
288,java.awt.JobAttributes$DialogType
289,java.awt.JobAttributes$MultipleDocumentHandlingType
290,java.awt.JobAttributes$SidesType
291,java.awt.KeyboardFocusManager$1
292,java.awt.KeyboardFocusManager$2
293,java.awt.KeyboardFocusManager$HeavyweightFocusRequest
294,java.awt.KeyboardFocusManager$LightweightFocusRequest
295,java.awt.Label
296,java.awt.Label$AccessibleAWTLabel
297,java.awt.LightweightDispatcher
298,java.awt.event.AWTEventListener
299,java.awt.LightweightDispatcher$1
300,java.awt.LightweightDispatcher$2
301,java.awt.LightweightDispatcher$3
302,java.awt.LinearGradientPaint
303,java.awt.MultipleGradientPaint
304,java.awt.MultipleGradientPaint$CycleMethod
305,java.awt.MultipleGradientPaint$ColorSpaceType
306,java.awt.LinearGradientPaintContext
307,java.awt.MultipleGradientPaintContext
308,java.awt.List
309,java.awt.List$AccessibleAWTList
310,java.awt.List$AccessibleAWTList$AccessibleAWTListChild
311,java.awt.MediaTracker
312,java.awt.Menu
313,java.awt.Menu$AccessibleAWTMenu
314,java.awt.MenuBar$AccessibleAWTMenuBar
315,java.awt.MenuComponent$AccessibleAWTMenuComponent
316,java.awt.ModalEventFilter
317,java.awt.ModalEventFilter$1
318,java.awt.ModalEventFilter$ApplicationModalEventFilter
319,java.awt.ModalEventFilter$DocumentModalEventFilter
320,java.awt.ModalEventFilter$ToolkitModalEventFilter
321,java.awt.MouseInfo
322,java.awt.PointerInfo
323,java.awt.MutableBoolean
324,java.awt.PageAttributes
325,java.awt.PageAttributes$ColorType
326,java.awt.PageAttributes$MediaType
327,java.awt.PageAttributes$OrientationRequestedType
328,java.awt.PageAttributes$OriginType
329,java.awt.PageAttributes$PrintQualityType
330,java.awt.Transparency
331,java.awt.PeerFixer
332,java.awt.geom.PathIterator
333,java.awt.Polygon$PolygonPathIterator
334,java.awt.PopupMenu$AccessibleAWTPopupMenu
335,java.awt.PrintGraphics
336,java.awt.PrintJob
337,java.awt.Queue
338,java.awt.RadialGradientPaint
339,java.awt.RadialGradientPaintContext
340,java.awt.geom.Line2D
341,java.util.Collection
342,java.awt.Robot
343,java.awt.Robot$1
344,java.awt.ScrollPane
345,java.awt.ScrollPane$AccessibleAWTScrollPane
346,java.awt.ScrollPane$PeerFixer
347,java.awt.ScrollPaneAdjustable
348,java.awt.Scrollbar
349,java.awt.Scrollbar$AccessibleAWTScrollBar
350,java.awt.SequencedEvent
351,java.awt.SequencedEvent$1
352,java.awt.SplashScreen
353,java.awt.SystemColor
354,java.awt.SystemTray
355,java.awt.TrayIcon
356,java.awt.TextArea
357,java.awt.TextComponent
358,java.awt.TextArea$AccessibleAWTTextArea
359,java.awt.TextComponent$AccessibleAWTTextComponent
360,javax.swing.text.AttributeSet
361,java.awt.TextField
362,java.awt.TextField$AccessibleAWTTextField
363,java.awt.TexturePaint
364,java.awt.TexturePaintContext
365,java.awt.TexturePaintContext$Any
366,java.awt.TexturePaintContext$Byte
367,java.awt.TexturePaintContext$ByteFilter
368,java.awt.TexturePaintContext$Int
369,java.awt.dnd.peer.DragSourceContextPeer
370,java.awt.dnd.DragGestureEvent
371,java.awt.dnd.DragGestureRecognizer
372,java.awt.dnd.DragSource
373,java.awt.dnd.DragGestureListener
374,java.awt.datatransfer.Clipboard
375,java.util.Properties
376,java.awt.im.InputMethodHighlight
377,java.awt.Toolkit$1
378,java.awt.Toolkit$2
379,java.awt.Toolkit$3
380,java.awt.Toolkit$SelectiveAWTEventListener
381,java.awt.Toolkit$ToolkitEventMulticaster
382,java.awt.TrayIcon$MessageType
383,java.awt.VKCollection
384,java.lang.Integer
