idx,classname
0,java.net.CacheResponse
1,java.net.DatagramSocketImplFactory
2,java.net.MulticastSocket
3,java.net.Inet4Address
4,java.net.TwoStacksPlainDatagramSocketImpl
5,java.net.PlainSocketImpl
6,java.net.DatagramPacket
7,java.net.NetPermission
8,java.net.DatagramSocket
9,java.net.SocketAddress
10,java.net.InetAddressContainer
11,java.net.URLEncoder
12,java.net.DefaultInterface
13,java.net.InterfaceAddress
14,java.net.ContentHandlerFactory
15,java.net.ProxySelector
16,java.net.URLConnection
17,java.net.SocketOutputStream
18,java.net.URLPermission
19,java.net.Inet6AddressImpl
20,java.net.UnknownHostException
21,java.net.SocketInputStream
22,java.net.DefaultDatagramSocketImplFactory
23,java.net.InetAddressImpl
24,java.net.HostPortrange
25,java.net.ProtocolFamily
26,java.net.URL
27,java.net.IDN
28,java.net.SocketImplFactory
29,java.net.CacheRequest
30,java.net.URLClassLoader
31,java.net.InMemoryCookieStore
32,java.net.SocketPermission
33,java.net.SocketOption
34,java.net.HttpCookie
35,java.net.SocksConsts
36,java.net.StandardProtocolFamily
37,java.net.PortUnreachableException
38,java.net.URLStreamHandler
39,java.net.CookieManager
40,java.net.URLStreamHandlerFactory
41,java.net.CookieHandler
42,java.net.InetSocketAddress
43,java.net.Inet4AddressImpl
44,java.net.ConnectException
45,java.net.BindException
46,java.net.HttpURLConnection
47,java.net.ProtocolException
48,java.net.DatagramSocketImpl
49,java.net.URISyntaxException
50,java.net.SocketOptions
51,java.net.TwoStacksPlainSocketImpl
52,java.net.ResponseCache
53,java.net.StandardSocketOptions
54,java.net.URLDecoder
55,java.net.Authenticator
56,java.net.Proxy
57,java.net.JarURLConnection
58,java.net.HttpConnectSocketImpl
59,java.net.Socket
60,java.net.CookieStore
61,java.net.SocketImpl
62,java.net.URI
63,java.net.SocksSocketImpl
64,java.net.SdpSocketImpl
65,java.net.UnknownServiceException
66,java.net.SocketException
67,java.net.ContentHandler
68,java.net.Inet6Address
69,java.net.SocketTimeoutException
70,java.net.ServerSocket
71,java.net.DualStackPlainSocketImpl
72,java.net.MalformedURLException
73,java.net.PasswordAuthentication
74,java.net.AbstractPlainSocketImpl
75,java.net.DualStackPlainDatagramSocketImpl
76,java.net.NoRouteToHostException
77,java.net.AbstractPlainDatagramSocketImpl
78,java.net.NetworkInterface
79,java.net.HttpRetryException
80,java.net.package-info
81,java.net.FileNameMap
82,java.net.SocketSecrets
83,java.net.CookiePolicy
84,java.net.InetAddress
85,java.net.SecureCacheResponse
86,java.util.FormatterClosedException
87,java.util.EventListenerProxy
88,java.util.PropertyPermission
89,java.util.IllformedLocaleException
90,java.util.MissingResourceException
91,java.util.Vector
92,java.util.TreeMap
93,java.util.LinkedList
94,java.util.UnknownFormatConversionException
95,java.util.IllegalFormatWidthException
96,java.util.RegularEnumSet
97,java.util.SortedSet
98,java.util.ResourceBundle
99,java.util.Map
100,java.util.IntSummaryStatistics
